%D;pD;%X;pX;pc;pt
5;5;85;75;53.43283582089552;958.139303482587
5;5;85;85;51.30597014925373;649.3582089552239
5;5;85;95;53.33830845771144;605.3034825870647
5;5;95;5;55.092039800995025;487.32338308457713
5;5;95;15;52.308457711442784;749.4726368159204
5;5;95;25;52.93781094527363;1054.7611940298507
5;5;95;35;53.90547263681592;807.3109452736319
5;5;95;45;53.89303482587065;548.6293532338309
5;5;95;55;54.917910447761194;467.92537313432837
5;5;95;65;54.766169154228855;635.5
5;5;95;75;52.614427860696516;688.6940298507462
5;5;95;85;53.48756218905473;451.43532338308455
5;5;95;95;53.29601990049751;1679.5373134328358
5;15;5;5;53.21890547263681;544.6194029850747
5;15;5;15;52.56467661691542;1625.7014925373135
5;15;5;25;60.08955223880597;512.5845771144278
5;15;5;35;54.8134328358209;642.9179104477612
5;15;5;45;53.223880597014926;1421.0497512437812
5;15;5;55;52.57960199004975;473.14179104477614
5;15;5;65;52.256218905472636;631.3333333333334
5;15;5;75;52.917910447761194;597.2014925373135
5;15;5;85;53.27860696517413;886.502487562189
5;15;5;95;54.2363184079602;384.2786069651741
5;15;15;5;53.57462686567164;914.6741293532339
5;15;15;15;55.0771144278607;1006.3034825870647
5;15;15;25;53.666666666666664;945.3980099502487
5;15;15;35;52.69651741293532;694.6119402985074
5;15;15;45;52.756218905472636;667.6567164179105
5;15;15;55;53.82089552238806;494.05721393034827
5;15;15;65;55.223880597014926;568.2661691542288
5;15;15;75;51.181592039801;466.69154228855723
5;15;15;85;54.34577114427861;616.4402985074627
5;15;15;95;52.53731343283582;773.4154228855722
5;15;25;5;52.233830845771145;525.4179104477612
5;15;25;15;54.43781094527363;533.594527363184
5;15;25;25;53.43532338308458;688.0995024875622
5;15;25;35;50.80597014925373;636.2114427860696
5;15;25;45;52.74875621890547;613.7089552238806
5;15;25;55;56.24626865671642;1065.952736318408
5;15;25;65;51.504975124378106;640.3283582089553
5;15;25;75;54.16417910447761;1338.233830845771
5;15;25;85;53.05223880597015;491.55721393034827
5;15;25;95;56.495024875621894;822.5174129353234
5;15;35;5;53.027363184079604;958.1766169154229
5;15;35;15;56.59452736318408;852.0124378109452
5;15;35;25;49.00995024875622;785.9527363184079
5;15;35;35;54.32835820895522;540.6517412935324
5;15;35;45;52.86318407960199;637.8905472636816
5;15;35;55;53.5;542.1592039800995
5;15;35;65;52.517412935323385;325.0721393034826
5;15;35;75;52.614427860696516;910.681592039801
5;15;35;85;53.385572139303484;610.5696517412936
5;15;35;95;53.47014925373134;733.2860696517413
5;15;45;5;50.960199004975124;462.82835820895525
5;15;45;15;53.88059701492537;455.3830845771144
5;15;45;25;49.940298507462686;512.7363184079602
5;15;45;35;48.004975124378106;1234.9975124378109
5;15;45;45;52.84825870646766;498.6393034825871
5;15;45;55;55.61940298507463;511.363184079602
5;15;45;65;52.38308457711443;773.9601990049752
5;15;45;75;54.30597014925373;711.957711442786
5;15;45;85;54.67910447761194;569.4701492537314
5;15;45;95;51.549751243781095;1487.9975124378109
5;15;55;5;52.38059701492537;1059.629353233831
5;15;55;15;51.04477611940298;472.1194029850746
5;15;55;25;57.23134328358209;602.4925373134329
5;15;55;35;51.972636815920396;517.0472636815921
5;15;55;45;51.975124378109456;462.8681592039801
5;15;55;55;53.853233830845774;561.8457711442786
5;15;55;65;53.22636815920398;673.9502487562189
5;15;55;75;54.65422885572139;802.6194029850747
5;15;55;85;53.46766169154229;666.6915422885572
5;15;55;95;54.05721393034826;657.7537313432836
5;15;65;5;54.32835820895522;973.4800995024875
5;15;65;15;52.54726368159204;679.4676616915423
5;15;65;25;53.14427860696517;643.7014925373135
5;15;65;35;52.1865671641791;574.9825870646766
5;15;65;45;53.53233830845771;601.6716417910447
5;15;65;55;50.92786069651741;795.9875621890548
5;15;65;65;52.92039800995025;1020.7512437810946
5;15;65;75;52.77860696517413;724.3009950248756
5;15;65;85;51.159203980099505;1074.2960199004974
5;15;65;95;52.95273631840796;893.5721393034826
5;15;75;5;54.756218905472636;746.5671641791045
5;15;75;15;52.343283582089555;766.5820895522388
5;15;75;25;50.66417910447761;1061.6990049751244
5;15;75;35;53.02985074626866;687.8756218905472
5;15;75;45;54.95273631840796;1563.0024875621891
5;15;75;55;53.70646766169154;445.85820895522386
5;15;75;65;53.53233830845771;472.1318407960199
5;15;75;75;50.992537313432834;398.26616915422886
5;15;75;85;53.26865671641791;1321.5771144278608
5;15;75;95;50.88308457711443;1408.1567164179105
5;15;85;5;52.330845771144276;500.1517412935323
5;15;85;15;52.38805970149254;1125.3358208955224
5;15;85;25;51.86069651741293;694.4452736318408
5;15;85;35;52.89054726368159;756.3134328358209
5;15;85;45;53.77860696517413;631.2462686567164
5;15;85;55;54.17164179104478;972.2537313432836
5;15;85;65;54.62686567164179;666.4875621890548
5;15;85;75;53.02985074626866;888.2512437810946
5;15;85;85;54.45522388059702;559.3009950248756
5;15;85;95;53.014925373134325;602.1567164179105
5;15;95;5;52.55223880597015;613.0721393034826
5;15;95;15;58.2636815920398;1398.4900497512438
5;15;95;25;54.649253731343286;1384.4577114427861
5;15;95;35;54.17661691542288;1060.6119402985075
5;15;95;45;53.14427860696517;431.547263681592
5;15;95;55;56.756218905472636;582.7114427860696
5;15;95;65;53.61194029850746;909.0149253731344
5;15;95;75;55.58706467661692;727.5174129353234
5;15;95;85;53.808457711442784;761.5199004975125
5;15;95;95;53.59701492537314;707.5099502487562
5;25;5;5;52.23880597014925;823.3731343283582
5;25;5;15;54.6318407960199;450.6592039800995
5;25;5;25;54.04477611940298;1331.0223880597016
5;25;5;35;51.75870646766169;558.9278606965174
5;25;5;45;54.06716417910448;978.0696517412936
5;25;5;55;55.30597014925373;786.405472636816
5;25;5;65;53.77860696517413;742.3930348258707
5;25;5;75;54.33582089552239;1320.221393034826
5;25;5;85;54.10945273631841;597.0970149253732
5;25;5;95;51.56218905472637;384.8059701492537
5;25;15;5;53.10945273631841;1289.089552238806
5;25;15;15;53.80597014925373;807.7064676616916
5;25;15;25;54.46766169154229;1004.276119402985
5;25;15;35;52.833333333333336;713.8681592039801
5;25;15;45;53.37810945273632;516.773631840796
5;25;15;55;57.27363184079602;1077.6094527363184
5;25;15;65;55.017412935323385;591.8557213930349
5;25;15;75;49.975124378109456;428.9502487562189
5;25;15;85;52.50248756218905;636.6293532338309
5;25;15;95;53.701492537313435;594.497512437811
5;25;25;5;53.930348258706466;738.5746268656717
5;25;25;15;52.51243781094527;637.1268656716418
5;25;25;25;51.514925373134325;451.19154228855723
5;25;25;35;55.12686567164179;774.1940298507462
5;25;25;45;52.59701492537314;1335.097014925373
5;25;25;55;52.43532338308458;1452.1990049751244
5;25;25;65;53.63930348258707;896.5995024875622
5;25;25;75;52.6044776119403;426.96268656716416
5;25;25;85;52.79353233830846;1137.0373134328358
5;25;25;95;51.9452736318408;749.5149253731344
5;25;35;5;53.61940298507463;607.3756218905472
5;25;35;15;54.05223880597015;1025.7363184079602
5;25;35;25;51.19402985074627;473.37064676616916
5;25;35;35;51.646766169154226;575.0049751243781
5;25;35;45;48.98756218905473;1059.9577114427861
5;25;35;55;55.36318407960199;819.0049751243781
5;25;35;65;53.33582089552239;737.4129353233831
5;25;35;75;53.092039800995025;1045.226368159204
5;25;35;85;51.87313432835821;723.1716417910447
5;25;35;95;53.430348258706466;695.1169154228855
5;25;45;5;51.68905472636816;771.8855721393035
5;25;45;15;53.40298507462686;919.3308457711443
5;25;45;25;54.517412935323385;837.5796019900497
5;25;45;35;56.16169154228856;1213.4577114427861
5;25;45;45;51.22636815920398;498.8059701492537
5;25;45;55;53.78358208955224;2841.9378109452737
5;25;45;65;53.80597014925373;879.4776119402985
5;25;45;75;52.885572139303484;775.0870646766169
5;25;45;85;47.9452736318408;653.9253731343283
5;25;45;95;50.40547263681592;1118.5298507462687
5;25;55;5;52.166666666666664;1266.1442786069651
5;25;55;15;53.41044776119403;1036.3681592039802
5;25;55;25;54.34825870646766;1124.0771144278608
5;25;55;35;52.26865671641791;360.6592039800995
5;25;55;45;52.027363184079604;537.3830845771145
5;25;55;55;53.13681592039801;430.3681592039801
5;25;55;65;52.49751243781095;1343.2587064676618
5;25;55;75;53.01243781094527;592.2611940298508
5;25;55;85;53.15422885572139;671.5746268656717
